"product_id","name","value"
"100425959","COP","3,8"
"100425959","Фреон","R410"
"100425959","Робочій діапазон температур, С","От - 5 до + 48"
"100425959","Тепловиробництво, Квт","2,84"
"100425959","EER","3,4"
"100425959","Гарантія, м","36"
"100425959","Класс енергосбереження","A"
"100425959","Країна виробник","China"
"100425959","Холодовиробництво","2,64"
"100425959","Розмір внутр. блока, мм","837x302x189"
"100423968","Товщина стінки, мм","0"
"100423968","Внутрішній діаметр, мм","0"
"100423968","Країна виробник","Czechia"
"100423968","Максимальна робоча температура,С","0"
"100423968","Максамальний робочий тиск, бар","0"
"000216879","Потужність, кВт","20"
"000216879","Вага, кг","7,9"
"000216879","Гарантія, м","12"
"000216879","Продуктивність гарячої води л/хв. при дельта t=25С","10"
"000216879","Країна виробник","China"
"000216879","Розмір (Ширина*глибина*висота), мм","340*140*590"
"100419263","Гарантія, м","12"
"100419263","Вага, кг","7 000"
"100419263","Корисна потужність, кВт","1500"
"100419263","Країна виробник","Turkey"
"100419263","Розмір ( ширина, глибина, висота), мм","0"
"100434827","COP","4,67"
"100434827","Робочій діапазон температур, С","От - 15 до + 43"
"100434827","EER","3,5"
"100434827","Тепловиробництво, Квт","9"
"100434827","Гарантія, м","36"
"100434827","Класс енергосбереження","A"
"100434827","Країна виробник","Thailand"
"100434827","Холодовиробництво","8"
"100434827","Розмір внутр. блока, мм","0"
"100419264","Гарантія, м","12"
"100419264","Вага, кг","7 500"
"100419264","Корисна потужність, кВт","1740"
"100419264","Країна виробник","Turkey"
"100419264","Розмір ( ширина, глибина, висота), мм","0"
"000004233","Вага, кг","0"
"000004233","Холодопродуктивність, кВт","0"
"000004233","Теплопродуктивність, кВт","0"
"000004233","Размер (Ширина*глубина*высота), мм","0"
"000004230","Вага, кг","0"
"000004230","Холодопродуктивність, кВт","0"
"000004230","Теплопродуктивність, кВт","0"
"000004230","Размер (Ширина*глубина*высота), мм","0"
"000004231","Вага, кг","0"
"000004231","Холодопродуктивність, кВт","0"
"000004231","Теплопродуктивність, кВт","0"
"000004231","Размер (Ширина*глубина*высота), мм","0"
"000009860","Вага, кг","14,5"
"000009860","Холодопродуктивність, кВт","0"
"000009860","Теплопродуктивність, кВт","0"
"000009860","Розмір ( ширина, глибина, висота), мм","240*440*243"
"000009861","Вага, кг","18"
"000009861","Холодопродуктивність, кВт","0"
"000009861","Теплопродуктивність, кВт","0"
"000009861","Розмір ( ширина, глибина, висота), мм","540*290*293"
"000009862","Вага, кг","65,5"
"000009862","Холодопродуктивність, кВт","0"
"000009862","Теплопродуктивність, кВт","0"
"000009862","Розмір ( ширина, глибина, висота), мм","560*960*553"
"100432230","Електрична потужність, кВт","1,8"
"100432230","Вага, кг","22,5"
"100432230","Гарантія, м","24 електр.ч./36 бак"
"100432230","Тип внутрішнього бака","емальований"
"100432230","Розмір ( ширина, глибина, висота), мм","450*485*813"
"100432230","Країна виробник","Egypt"
"100432230","Об'єм, л","80"
"100430803","Потужність, Вт","0,02"
"100430803","Площа приміщення, кв.м","25"
"100430803","Вага, кг","1,8"
"100430803","Витрати води, г/год","0"
"100430803","Резервуар для води, л","3,5"
"100430803","Об`єм приміщення, куб.м","60"
"100430803","Розмір ( довж, шир, вис), мм","212*170*299"
"000014262","Вага, кг","0"
"000014262","Холодопродуктивність, кВт","0"
"000014262","Теплопродуктивність, кВт","0"
"000014262","Размер (Ширина*глубина*высота), мм","0"
"000014264","Вага, кг","0"
"000014264","Холодопродуктивність, кВт","0"
"000014264","Теплопродуктивність, кВт","0"
"000014264","Размер (Ширина*глубина*высота), мм","0"
"000014266","Вага, кг","0"
"000014266","Холодопродуктивність, кВт","0"
"000014266","Теплопродуктивність, кВт","0"
"000014266","Размер (Ширина*глубина*высота), мм","0"
"100432231","Електрична потужність, кВт","2"
